Approved symbol	Approved name	Status	Alias symbols	Gene group name
PIRC19	piwi-interacting RNA cluster 19	Approved		Piwi-interacting RNA clusters
PIRC20	piwi-interacting RNA cluster 20	Approved		Piwi-interacting RNA clusters
PIRC21	piwi-interacting RNA cluster 21	Approved		Piwi-interacting RNA clusters
PIRC22	piwi-interacting RNA cluster 22	Approved		Piwi-interacting RNA clusters
PIRC23	piwi-interacting RNA cluster 23	Approved		Piwi-interacting RNA clusters
PIRC24	piwi-interacting RNA cluster 24	Approved		Piwi-interacting RNA clusters
PIRC25	piwi-interacting RNA cluster 25	Approved		Piwi-interacting RNA clusters
PIRC26	piwi-interacting RNA cluster 26	Approved		Piwi-interacting RNA clusters
PIRC27	piwi-interacting RNA cluster 27	Approved		Piwi-interacting RNA clusters
PIRC28	piwi-interacting RNA cluster 28	Approved		Piwi-interacting RNA clusters
PIRC29	piwi-interacting RNA cluster 29	Approved		Piwi-interacting RNA clusters
PIRC30	piwi-interacting RNA cluster 30	Approved		Piwi-interacting RNA clusters
PIRC31	piwi-interacting RNA cluster 31	Approved		Piwi-interacting RNA clusters
PIRC32	piwi-interacting RNA cluster 32	Approved		Piwi-interacting RNA clusters
PIRC33	piwi-interacting RNA cluster 33	Approved		Piwi-interacting RNA clusters
PIRC34	piwi-interacting RNA cluster 34	Approved		Piwi-interacting RNA clusters
PIRC35	piwi-interacting RNA cluster 35	Approved		Piwi-interacting RNA clusters
PIRC36	piwi-interacting RNA cluster 36	Approved		Piwi-interacting RNA clusters
PIRC37	piwi-interacting RNA cluster 37	Approved		Piwi-interacting RNA clusters
PIRC38	piwi-interacting RNA cluster 38	Approved		Piwi-interacting RNA clusters
PIRC39	piwi-interacting RNA cluster 39	Approved		Piwi-interacting RNA clusters
PIRC40	piwi-interacting RNA cluster 40	Approved		Piwi-interacting RNA clusters
PIRC41	piwi-interacting RNA cluster 41	Approved		Piwi-interacting RNA clusters
PIRC42	piwi-interacting RNA cluster 42	Approved		Piwi-interacting RNA clusters
PIRC43	piwi-interacting RNA cluster 43	Approved		Piwi-interacting RNA clusters
PIRC44	piwi-interacting RNA cluster 44	Approved		Piwi-interacting RNA clusters
PIRC45	piwi-interacting RNA cluster 45	Approved		Piwi-interacting RNA clusters
PIRC46	piwi-interacting RNA cluster 46	Approved		Piwi-interacting RNA clusters
PIRC47	piwi-interacting RNA cluster 47	Approved		Piwi-interacting RNA clusters
PIRC48	piwi-interacting RNA cluster 48	Approved		Piwi-interacting RNA clusters
PIRC49	piwi-interacting RNA cluster 49	Approved		Piwi-interacting RNA clusters
PIRC50	piwi-interacting RNA cluster 50	Approved		Piwi-interacting RNA clusters
PIRC51	piwi-interacting RNA cluster 51	Approved		Piwi-interacting RNA clusters
PIRC52	piwi-interacting RNA cluster 52	Approved		Piwi-interacting RNA clusters
PIRC53	piwi-interacting RNA cluster 53	Approved		Piwi-interacting RNA clusters
PIRC54	piwi-interacting RNA cluster 54	Approved		Piwi-interacting RNA clusters
PIRC55	piwi-interacting RNA cluster 55	Approved		Piwi-interacting RNA clusters
PIRC56	piwi-interacting RNA cluster 56	Approved		Piwi-interacting RNA clusters
PIRC57	piwi-interacting RNA cluster 57	Approved		Piwi-interacting RNA clusters
PIRC58	piwi-interacting RNA cluster 58	Approved		Piwi-interacting RNA clusters
PIRC59	piwi-interacting RNA cluster 59	Approved		Piwi-interacting RNA clusters
PIRC60	piwi-interacting RNA cluster 60	Approved		Piwi-interacting RNA clusters
PIRC61	piwi-interacting RNA cluster 61	Approved		Piwi-interacting RNA clusters
PIRC62	piwi-interacting RNA cluster 62	Approved		Piwi-interacting RNA clusters
PIRC63	piwi-interacting RNA cluster 63	Approved		Piwi-interacting RNA clusters
PIRC64	piwi-interacting RNA cluster 64	Approved		Piwi-interacting RNA clusters
PIRC65	piwi-interacting RNA cluster 65	Approved		Piwi-interacting RNA clusters
PIRC66	piwi-interacting RNA cluster 66	Approved		Piwi-interacting RNA clusters
PIRC67	piwi-interacting RNA cluster 67	Approved		Piwi-interacting RNA clusters
PIRC68	piwi-interacting RNA cluster 68	Approved		Piwi-interacting RNA clusters
PIRC69	piwi-interacting RNA cluster 69	Approved		Piwi-interacting RNA clusters
PIRC70	piwi-interacting RNA cluster 70	Approved		Piwi-interacting RNA clusters
PIRC71	piwi-interacting RNA cluster 71	Approved		Piwi-interacting RNA clusters
PIRC72	piwi-interacting RNA cluster 72	Approved		Piwi-interacting RNA clusters
PIRC73	piwi-interacting RNA cluster 73	Approved		Piwi-interacting RNA clusters
PIRC74	piwi-interacting RNA cluster 74	Approved		Piwi-interacting RNA clusters
PIRC75	piwi-interacting RNA cluster 75	Approved		Piwi-interacting RNA clusters
PIRC76	piwi-interacting RNA cluster 76	Approved		Piwi-interacting RNA clusters
PIRC77	piwi-interacting RNA cluster 77	Approved		Piwi-interacting RNA clusters
PIRC78	piwi-interacting RNA cluster 78	Approved		Piwi-interacting RNA clusters
PIRC79	piwi-interacting RNA cluster 79	Approved		Piwi-interacting RNA clusters
PIRC80	piwi-interacting RNA cluster 80	Approved		Piwi-interacting RNA clusters
PIRC81	piwi-interacting RNA cluster 81	Approved		Piwi-interacting RNA clusters
PIRC82	piwi-interacting RNA cluster 82	Approved		Piwi-interacting RNA clusters
PIRC83	piwi-interacting RNA cluster 83	Approved		Piwi-interacting RNA clusters
PIRC84	piwi-interacting RNA cluster 84	Approved		Piwi-interacting RNA clusters
PIRC85	piwi-interacting RNA cluster 85	Approved		Piwi-interacting RNA clusters
PIRC86	piwi-interacting RNA cluster 86	Approved		Piwi-interacting RNA clusters
PIRC87	piwi-interacting RNA cluster 87	Approved		Piwi-interacting RNA clusters
PIRC88	piwi-interacting RNA cluster 88	Approved		Piwi-interacting RNA clusters
PIRC89	piwi-interacting RNA cluster 89	Approved		Piwi-interacting RNA clusters
PIRC90	piwi-interacting RNA cluster 90	Approved		Piwi-interacting RNA clusters
PIRC91	piwi-interacting RNA cluster 91	Approved		Piwi-interacting RNA clusters
PIRC92	piwi-interacting RNA cluster 92	Approved		Piwi-interacting RNA clusters
PIRC93	piwi-interacting RNA cluster 93	Approved		Piwi-interacting RNA clusters
PIRC94	piwi-interacting RNA cluster 94	Approved		Piwi-interacting RNA clusters
PIRC95	piwi-interacting RNA cluster 95	Approved		Piwi-interacting RNA clusters
PIRC96	piwi-interacting RNA cluster 96	Approved		Piwi-interacting RNA clusters
PIRC97	piwi-interacting RNA cluster 97	Approved		Piwi-interacting RNA clusters
PIRC98	piwi-interacting RNA cluster 98	Approved		Piwi-interacting RNA clusters
PIRC99	piwi-interacting RNA cluster 99	Approved		Piwi-interacting RNA clusters
PIRC100	piwi-interacting RNA cluster 100	Approved		Piwi-interacting RNA clusters
PIRC101	piwi-interacting RNA cluster 101	Approved		Piwi-interacting RNA clusters
PIRC102	piwi-interacting RNA cluster 102	Approved		Piwi-interacting RNA clusters
PIRC103	piwi-interacting RNA cluster 103	Approved		Piwi-interacting RNA clusters
PIRC104	piwi-interacting RNA cluster 104	Approved		Piwi-interacting RNA clusters
PIRC105	piwi-interacting RNA cluster 105	Approved		Piwi-interacting RNA clusters
PIRC106	piwi-interacting RNA cluster 106	Approved		Piwi-interacting RNA clusters
PIRC107	piwi-interacting RNA cluster 107	Approved		Piwi-interacting RNA clusters
PIRC108	piwi-interacting RNA cluster 108	Approved		Piwi-interacting RNA clusters
PIRC109	piwi-interacting RNA cluster 109	Approved		Piwi-interacting RNA clusters
PIRC110	piwi-interacting RNA cluster 110	Approved		Piwi-interacting RNA clusters
PIRC111	piwi-interacting RNA cluster 111	Approved		Piwi-interacting RNA clusters
PIRC112	piwi-interacting RNA cluster 112	Approved		Piwi-interacting RNA clusters
PIRC113	piwi-interacting RNA cluster 113	Approved		Piwi-interacting RNA clusters
PIRC114	piwi-interacting RNA cluster 114	Approved		Piwi-interacting RNA clusters
PIRT	phosphoinositide interacting regulator of transient receptor potential channels	Approved		
PISD	phosphatidylserine decarboxylase	Approved	"dJ858B16.2, PSDC"	MicroRNA protein coding host genes
PISRT1	PISRT1 lncRNA	Approved	NCRNA00195	Long non-coding RNAs with non-systematic symbols
PIT1	"symbol withdrawn, see [HGNC:9210](/data/gene-symbol-report/#!/hgnc_id/HGNC:9210)"	Symbol Withdrawn		
PITHD1	PITH domain containing 1	Approved	"HT014, TXNL1CL"	
PITPNA	phosphatidylinositol transfer protein alpha	Approved	VIB1A	Phosphatidylinositol transfer proteins
PITPNA-AS1	PITPNA antisense RNA 1	Approved		Antisense RNAs
PITPNB	phosphatidylinositol transfer protein beta	Approved	VIB1B	Phosphatidylinositol transfer proteins
PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1	Approved	"RDGBB1, RDGBB, RDGB-BETA"	MicroRNA protein coding host genes|Phosphatidylinositol transfer proteins
PITPNM1	phosphatidylinositol transfer protein membrane associated 1	Approved	"DRES9, NIR2, RDGB1, RDGBA1, Rd9, RDGB"	Phosphatidylinositol transfer proteins
PITPNM2	phosphatidylinositol transfer protein membrane associated 2	Approved	"RDGBA2, RDGB2, NIR3"	Phosphatidylinositol transfer proteins|MicroRNA protein coding host genes
PITPNM2-AS1	PITPNM2 antisense RNA 1	Approved		Antisense RNAs
PITPNM3	PITPNM family member 3	Approved	"NIR1, RDGBA3, ACKR6"	Atypical chemokine receptors|Phosphatidylinositol transfer proteins
PITRM1	pitrilysin metallopeptidase 1	Approved	"MP1, KIAA1104, hMP1, PreP"	M16 metallopeptidases
PITRM1-AS1	PITRM1 antisense RNA 1	Approved		Antisense RNAs
PITX1	paired like homeodomain 1	Approved	"PTX1, POTX"	PRD class homeoboxes and pseudogenes
PITX2	paired like homeodomain 2	Approved	"IGDS, RS, Brx1, Otlx2, ARP1"	PRD class homeoboxes and pseudogenes
PITX3	paired like homeodomain 3	Approved		PRD class homeoboxes and pseudogenes
PIWIL1	piwi like RNA-mediated gene silencing 1	Approved	"PIWI, HIWI, CT80.1"	Argonaute/PIWI family
PIWIL2	piwi like RNA-mediated gene silencing 2	Approved	"HILI, FLJ10351, Mili, CT80"	Argonaute/PIWI family
PIWIL3	piwi like RNA-mediated gene silencing 3	Approved	HIWI3	Argonaute/PIWI family
PIWIL4	piwi like RNA-mediated gene silencing 4	Approved	"FLJ36156, HIWI2, Miwi2"	Argonaute/PIWI family
PJA1	praja ring finger ubiquitin ligase 1	Approved	"FLJ11830, RNF70"	Ring finger proteins
PJA2	praja ring finger ubiquitin ligase 2	Approved	"KIAA0438, Neurodap1"	Ring finger proteins
PJVK	pejvakin	Approved		Gasdermins
PKD1	"polycystin 1, transient receptor potential channel interacting"	Approved	"PBP, Pc-1, TRPP1"	C-type lectin domain containing|MicroRNA protein coding host genes
PKD1L1	"polycystin 1 like 1, transient receptor potential channel interacting"	Approved	PRO19563	
PKD1L2	polycystin 1 like 2 (gene/pseudogene)	Approved	KIAA1879	C-type lectin domain containing
PKD1L3	"polycystin 1 like 3, transient receptor potential channel interacting"	Approved		C-type lectin domain containing
PKD1P1	"polycystin 1, transient receptor potential channel interacting pseudogene 1"	Approved		
PKD1P2	"polycystin 1, transient receptor potential channel interacting pseudogene 2"	Approved		
PKD1P3	"polycystin 1, transient receptor potential channel interacting pseudogene 3"	Approved		
PKD1P4	"polycystin 1, transient receptor potential channel interacting pseudogene 4"	Approved		
PKD1P5	"polycystin 1, transient receptor potential channel interacting pseudogene 5"	Approved		
PKD1P6	"polycystin 1, transient receptor potential channel interacting pseudogene 6"	Approved		
PKD2	"polycystin 2, transient receptor potential cation channel"	Approved	"PKD4, PC2, Pc-2, TRPP2"	EF-hand domain containing|Transient receptor potential cation channels
PKD2L	"symbol withdrawn, see [HGNC:9011](/data/gene-symbol-report/#!/hgnc_id/HGNC:9011)"	Symbol Withdrawn		
PKD2L1	"polycystin 2 like 1, transient receptor potential cation channel"	Approved	"PCL, TRPP3"	Transient receptor potential cation channels
PKD2L2	"polycystin 2 like 2, transient receptor potential cation channel"	Approved	TRPP5	Transient receptor potential cation channels
PKD3	polycystic kidney disease 3 (autosomal dominant)	Entry Withdrawn		
PKDCC	"protein kinase domain containing, cytoplasmic"	Approved	"SgK493, Vlk"	
PKDL	"symbol withdrawn, see [HGNC:9011](/data/gene-symbol-report/#!/hgnc_id/HGNC:9011)"	Symbol Withdrawn		
PKDREJ	polycystin family receptor for egg jelly	Approved		
PKHD1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin	Approved	"ARPKD, FCYT, FPC"	IPT domain containing
PKHD1L1	PKHD1 like 1	Approved		IPT domain containing
PKIA	cAMP-dependent protein kinase inhibitor alpha	Approved		
PKIA-AS1	PKIA antisense RNA 1	Approved		Antisense RNAs
PKIB	cAMP-dependent protein kinase inhibitor beta	Approved		
PKIG	cAMP-dependent protein kinase inhibitor gamma	Approved		
PKLR	pyruvate kinase L/R	Approved		
PKM	pyruvate kinase M1/2	Approved	"THBP1, OIP3, PK3"	
PKMP1	pyruvate kinase M1/2 pseudogene 1	Approved		
PKMP2	pyruvate kinase M1/2 pseudogene 2	Approved		
PKMP3	pyruvate kinase M1/2 pseudogene 3	Approved		
PKMP4	pyruvate kinase M1/2 pseudogene 4	Approved		
PKMP5	pyruvate kinase M1/2 pseudogene 5	Approved		
PKMYT1	"protein kinase, membrane associated tyrosine/threonine 1"	Approved	"MYT1, PPP1R126"	Protein phosphatase 1 regulatory subunits
PKN1	protein kinase N1	Approved	"DBK, PRK1, PKN, MGC46204, PAK1"	AGC family kinases|C2 domain containing protein kinases
PKN2	protein kinase N2	Approved	"PRK2, Pak-2, STK7"	C2 domain containing protein kinases|AGC family kinases|Small nucleolar RNA protein coding host genes
PKN2-AS1	PKN2 antisense RNA 1	Approved		Antisense RNAs
PKN3	protein kinase N3	Approved	"PKNbeta, UTDP4-1"	Minor histocompatibility antigens|C2 domain containing protein kinases|AGC family kinases
PKNOX1	PBX/knotted 1 homeobox 1	Approved	PREP1	TALE class homeoboxes and pseudogenes
PKNOX2	PBX/knotted 1 homeobox 2	Approved		TALE class homeoboxes and pseudogenes
PKNOX2-AS1	PKNOX2 antisense RNA 1 (head to head)	Approved		Antisense RNAs
PKP1	plakophilin 1	Approved	B6P	Armadillo repeat containing|Plakophilins
PKP2	plakophilin 2	Approved		Plakophilins|Armadillo repeat containing
PKP2P1	plakophilin 2 pseudogene 1	Approved		
PKP3	plakophilin 3	Approved		Armadillo repeat containing|Plakophilins
PKP4	plakophilin 4	Approved	p0071	Armadillo repeat containing|p120 catenin family
PKP4-AS1	PKP4 antisense RNA 1	Approved		Antisense RNAs
PKP4P1	plakophilin 4 pseudogene 1	Approved		
PLA1A	phospholipase A1 member A	Approved	ps-PLA1	Phospholipases
PLA2A	"symbol withdrawn, see [HGNC:9030](/data/gene-symbol-report/#!/hgnc_id/HGNC:9030)"	Symbol Withdrawn		
PLA2B	"symbol withdrawn, see [HGNC:9031](/data/gene-symbol-report/#!/hgnc_id/HGNC:9031)"	Symbol Withdrawn		
PLA2G1B	phospholipase A2 group IB	Approved		Phospholipases
PLA2G2A	phospholipase A2 group IIA	Approved		Phospholipases
PLA2G2C	phospholipase A2 group IIC	Approved		Phospholipases
PLA2G2D	phospholipase A2 group IID	Approved	sPLA2S	Phospholipases
PLA2G2E	phospholipase A2 group IIE	Approved		Phospholipases
PLA2G2F	phospholipase A2 group IIF	Approved		Phospholipases
PLA2G3	phospholipase A2 group III	Approved	GIII-SPLA2	Phospholipases
PLA2G4	"symbol withdrawn, see [HGNC:9035](/data/gene-symbol-report/#!/hgnc_id/HGNC:9035)"	Symbol Withdrawn		
PLA2G4A	phospholipase A2 group IVA	Approved	cPLA2-alpha	Phospholipases|C2 domain containing phospholipases
PLA2G4B	phospholipase A2 group IVB	Approved	"cPLA2-beta, HsT16992"	C2 domain containing phospholipases|Phospholipases
PLA2G4C	phospholipase A2 group IVC	Approved	cPLA2-gamma	Phospholipases
PLA2G4C-AS1	PLA2G4C antisense RNA 1	Approved		Antisense RNAs
PLA2G4D	phospholipase A2 group IVD	Approved	cPLA2delta	C2 domain containing phospholipases|Phospholipases
PLA2G4E	phospholipase A2 group IVE	Approved	FLJ45651	C2 domain containing phospholipases|Phospholipases
PLA2G4E-AS1	PLA2G4E antisense RNA 1	Approved		Antisense RNAs
PLA2G4F	phospholipase A2 group IVF	Approved	PLA2G4F/Z	C2 domain containing phospholipases|Phospholipases
PLA2G5	phospholipase A2 group V	Approved		Phospholipases
PLA2G6	phospholipase A2 group VI	Approved	"iPLA2, PNPLA9, PARK14, iPLA2beta, NBIA2"	Phospholipases|Patatin like phospholipase domain containing|Ankyrin repeat domain containing
PLA2G7	phospholipase A2 group VII	Approved	"PAFAH, LDL-PLA2"	Phospholipases
PLA2G10	phospholipase A2 group X	Approved	GXPLA2	Phospholipases
PLA2G12A	phospholipase A2 group XIIA	Approved		Phospholipases
PLA2G12AP1	phospholipase A2 group XIIA pseudogene 1	Approved		
PLA2G12AP2	phospholipase A2 group XIIA pseudogene 2	Approved		
PLA2G12B	phospholipase A2 group XIIB	Approved		Phospholipases
PLA2G15	phospholipase A2 group XV	Approved	"LLPL, GXVPLA2"	Phospholipases
PLA2L	"symbol withdrawn, see [HGNC:8100](/data/gene-symbol-report/#!/hgnc_id/HGNC:8100)"	Symbol Withdrawn		
PLA2R1	phospholipase A2 receptor 1	Approved	"PLA2G1R, PLA2IR, PLA2-R, CLEC13C"	C-type lectin domain containing
PLAA	phospholipase A2 activating protein	Approved	"PLAP, PLA2P, FLJ11281, FLJ12699, DOA1"	Armadillo like helical domain containing|WD repeat domain containing
PLAAT1	phospholipase A and acyltransferase 1	Approved	"H-REV107, HRASLS1, A-C1, PLA/AT1, PLAAT-1"	Phospholipase A and acyltransferase family
PLAAT2	phospholipase A and acyltransferase 2	Approved	"FLJ20556, PLAAT-2"	Phospholipase A and acyltransferase family
PLAAT3	phospholipase A and acyltransferase 3	Approved	"HREV107, H-REV107-1, HREV107-3, MGC118754., AdPLA, PLAAT-3"	Phospholipase A and acyltransferase family|Phospholipases
PLAAT4	phospholipase A and acyltransferase 4	Approved	"TIG3, HRASLS4, PLAAT-4, RIG1"	Phospholipase A and acyltransferase family
PLAAT5	phospholipase A and acyltransferase 5	Approved	"HRLP5, iNAT, PLAAT-5"	Phospholipase A and acyltransferase family
PLAC1	placenta enriched 1	Approved	"CT92, OOSP2L, OOSP2B"	OOSP family
PLAC4	placenta enriched 4	Approved	"MGC126664, MGC126666, PRED78"	
PLAC5	placenta-specific 5	Entry Withdrawn		
PLAC8	placenta associated 8	Approved	"onzin, C15"	
PLAC8L1	PLAC8 like 1	Approved		
PLAC9	placenta associated 9	Approved		
PLAC9P1	placenta associated 9 pseudogene 1	Approved		
PLAG1	PLAG1 zinc finger	Approved	ZNF912	Zinc fingers C2H2-type
PLAGL1	PLAG1 like zinc finger 1	Approved	"ZAC, LOT1"	Zinc fingers C2H2-type
PLAGL2	PLAG1 like zinc finger 2	Approved	ZNF900	Zinc fingers C2H2-type
PLANH1	"symbol withdrawn, see [HGNC:8583](/data/gene-symbol-report/#!/hgnc_id/HGNC:8583)"	Symbol Withdrawn		
PLANH2	"symbol withdrawn, see [HGNC:8584](/data/gene-symbol-report/#!/hgnc_id/HGNC:8584)"	Symbol Withdrawn		
PLANH3	"symbol withdrawn, see [HGNC:8723](/data/gene-symbol-report/#!/hgnc_id/HGNC:8723)"	Symbol Withdrawn		
PLAT	"plasminogen activator, tissue type"	Approved		
PLAU	"plasminogen activator, urokinase"	Approved	"URK, UPA"	
PLAUR	"plasminogen activator, urokinase receptor"	Approved	"URKR, UPAR, CD87"	CD molecules|LY6/PLAUR domain containing
PLB1	phospholipase B1	Approved	"PLB, FLJ30866"	Phospholipases
PLBD1	phospholipase B domain containing 1	Approved	FLJ22662	
PLBD1-AS1	PLBD1 antisense RNA 1	Approved		Antisense RNAs
PLBD2	phospholipase B domain containing 2	Approved	p76	
PLC1	"symbol withdrawn, see [HGNC:9065](/data/gene-symbol-report/#!/hgnc_id/HGNC:9065)"	Symbol Withdrawn		
PLCB1	phospholipase C beta 1	Approved	"KIAA0581, PLC-I, PLC154"	Phospholipases|C2 domain containing phospholipases
PLCB1-IT1	PLCB1 intronic transcript 1	Approved		Intronic transcripts
PLCB2	phospholipase C beta 2	Approved	FLJ38135	C2 domain containing phospholipases|Phospholipases
PLCB2-AS1	PLCB2 antisense RNA 1	Approved		Antisense RNAs
PLCB3	phospholipase C beta 3	Approved		Phospholipases|C2 domain containing phospholipases
PLCB4	phospholipase C beta 4	Approved		C2 domain containing phospholipases|Phospholipases
PLCD1	phospholipase C delta 1	Approved		Phospholipases|C2 domain containing phospholipases|EF-hand domain containing
PLCD3	phospholipase C delta 3	Approved		Phospholipases|MicroRNA protein coding host genes|C2 domain containing phospholipases
PLCD4	phospholipase C delta 4	Approved		C2 domain containing phospholipases|Phospholipases|EF-hand domain containing
PLCE1	phospholipase C epsilon 1	Approved	"KIAA1516, PLCE, NPHS3"	C2 domain containing phospholipases|Phospholipases
PLCE1-AS1	PLCE1 antisense RNA 1	Approved		Antisense RNAs
PLCE1-AS2	PLCE1 antisense RNA 2	Approved		Antisense RNAs
PLCE1P1	phospholipase C epsilon 1 pseudogene 1	Approved		
PLCG1	phospholipase C gamma 1	Approved	"PLC148, PLC-II, PLCgamma1, NCKAP3"	MicroRNA protein coding host genes|SH2 domain containing|EF-hand domain containing|Phospholipases|C2 domain containing phospholipases|Pleckstrin homology domain containing
PLCG1-AS1	PLCG1 antisense RNA 1	Approved	TOP1-AS1	Antisense RNAs
PLCG2	phospholipase C gamma 2	Approved		C2 domain containing phospholipases|SH2 domain containing|Phospholipases
PLCH1	phospholipase C eta 1	Approved	"KIAA1069, MGC117152, DKFZp434C1372, PLCeta1"	Phospholipases|EF-hand domain containing|C2 domain containing phospholipases
PLCH1-AS1	PLCH1 antisense RNA 1	Approved		Antisense RNAs
PLCH1-AS2	PLCH1 antisense RNA 2	Approved		Antisense RNAs
PLCH2	phospholipase C eta 2	Approved	"KIAA0450, PLCeta2, RP3-395M20.1, PLC-eta2"	EF-hand domain containing|Phospholipases
PLCL1	phospholipase C like 1 (inactive)	Approved	"PLC-L, PLCL, PRIP, PPP1R127"	C2 domain containing phospholipases|Protein phosphatase 1 regulatory subunits
PLCL2	phospholipase C like 2	Approved	KIAA1092	C2 domain containing phospholipases|MicroRNA protein coding host genes
PLCL2-AS1	PLCL2 antisense RNA 1	Approved		Antisense RNAs
PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1	Approved	FLJ11323	Pseudoautosomal region 1
PLCXD2	phosphatidylinositol specific phospholipase C X domain containing 2	Approved	FLJ31579	
PLCXD2-AS1	PLCXD2 antisense RNA 1	Approved		Antisense RNAs
PLCXD3	phosphatidylinositol specific phospholipase C X domain containing 3	Approved		
PLCZ1	phospholipase C zeta 1	Approved	"NYD-SP27, PLCzeta"	EF-hand domain containing|C2 domain containing phospholipases|Phospholipases
PLD1	phospholipase D1	Approved		Phospholipases|Pleckstrin homology domain containing
PLD2	phospholipase D2	Approved		Phospholipases
PLD3	phospholipase D family member 3	Approved	HU-K4	MicroRNA protein coding host genes|Phospholipases
PLD4	phospholipase D family member 4	Approved		Phospholipases
PLD5	phospholipase D family member 5	Approved	FLJ40773	Phospholipases
PLD5P1	PLD5 pseudogene 1	Approved		
PLD6	phospholipase D family member 6	Approved		Phospholipases
PLEC	plectin	Approved	"PCN, PLTN"	MicroRNA protein coding host genes|Plakins
PLEK	pleckstrin	Approved	P47	Pleckstrin homology domain containing
PLEK2	pleckstrin 2	Approved		Pleckstrin homology domain containing
PLEKHA1	pleckstrin homology domain containing A1	Approved	TAPP1	MicroRNA protein coding host genes|Pleckstrin homology domain containing
PLEKHA2	pleckstrin homology domain containing A2	Approved	TAPP2	Pleckstrin homology domain containing
PLEKHA3	pleckstrin homology domain containing A3	Approved	FAPP1	Pleckstrin homology domain containing
PLEKHA3P1	pleckstrin homology domain containing A3 pseudogene 1	Approved	PLEKHA3P	
PLEKHA4	pleckstrin homology domain containing A4	Approved	PEPP1	Pleckstrin homology domain containing
PLEKHA5	pleckstrin homology domain containing A5	Approved	"PEPP2, KIAA1686, FLJ10667"	Pleckstrin homology domain containing
PLEKHA6	pleckstrin homology domain containing A6	Approved	"PEPP3, KIAA0969"	Pleckstrin homology domain containing
PLEKHA7	pleckstrin homology domain containing A7	Approved	DKFZp686M22243	Pleckstrin homology domain containing
PLEKHA8	pleckstrin homology domain containing A8	Approved	"FAPP2, MGC3358"	Pleckstrin homology domain containing
PLEKHA8P1	pleckstrin homology domain containing A8 pseudogene 1	Approved	FLJ14156	
PLEKHB1	pleckstrin homology domain containing B1	Approved	"PHR1, KPL1"	Pleckstrin homology domain containing
PLEKHB2	pleckstrin homology domain containing B2	Approved	"EVT2, FLJ20783"	Pleckstrin homology domain containing
PLEKHD1	pleckstrin homology and coiled-coil domain containing D1	Approved	UPF0639	Pleckstrin homology domain containing
PLEKHF1	pleckstrin homology and FYVE domain containing 1	Approved	"APPD, MGC4090, PHAFIN1, ZFYVE15"	Zinc fingers FYVE-type|Pleckstrin homology domain containing
PLEKHF2	pleckstrin homology and FYVE domain containing 2	Approved	"ZFYVE18, PHAFIN2, FLJ13187"	Pleckstrin homology domain containing|Zinc fingers FYVE-type
PLEKHG1	pleckstrin homology and RhoGEF domain containing G1	Approved	"KIAA1209, ARHGEF41"	Dbl family Rho GEFs|Pleckstrin homology domain containing
PLEKHG2	pleckstrin homology and RhoGEF domain containing G2	Approved	"CLG, FLJ00018, ARHGEF42"	Dbl family Rho GEFs|Pleckstrin homology domain containing
PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	Approved	ARHGEF43	Dbl family Rho GEFs|Pleckstrin homology domain containing
PLEKHG4	pleckstrin homology and RhoGEF domain containing G4	Approved	"DKFZP434I216, ARHGEF44"	Dbl family Rho GEFs|Pleckstrin homology domain containing
PLEKHG4B	pleckstrin homology and RhoGEF domain containing G4B	Approved	KIAA1909	Dbl family Rho GEFs|Pleckstrin homology domain containing
PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	Approved	"KIAA0720, Syx, GEF720, Tech"	Dbl family Rho GEFs|Pleckstrin homology domain containing
PLEKHG6	pleckstrin homology and RhoGEF domain containing G6	Approved	"FLJ10665, MYOGEF"	Pleckstrin homology domain containing|Dbl family Rho GEFs
PLEKHG7	pleckstrin homology and RhoGEF domain containing G7	Approved	FLJ46688	Dbl family Rho GEFs|Pleckstrin homology domain containing
PLEKHH1	"pleckstrin homology, MyTH4 and FERM domain containing H1"	Approved	KIAA1200	Pleckstrin homology domain containing|FERM domain containing
PLEKHH2	"pleckstrin homology, MyTH4 and FERM domain containing H2"	Approved	"KIAA2028, PLEKHH1L"	Pleckstrin homology domain containing|FERM domain containing
PLEKHH3	"pleckstrin homology, MyTH4 and FERM domain containing H3"	Approved	FLJ21019	Pleckstrin homology domain containing|FERM domain containing
PLEKHJ1	pleckstrin homology domain containing J1	Approved	FLJ10297	MicroRNA protein coding host genes|Pleckstrin homology domain containing
PLEKHM1	pleckstrin homology and RUN domain containing M1	Approved	KIAA0356	Pleckstrin homology domain containing
PLEKHM1P1	pleckstrin homology and RUN domain containing M1 pseudogene 1	Approved	LOC440456	
PLEKHM2	pleckstrin homology and RUN domain containing M2	Approved	KIAA0842	Pleckstrin homology domain containing
PLEKHM3	pleckstrin homology domain containing M3	Approved	DAPR	Pleckstrin homology domain containing
PLEKHN1	pleckstrin homology domain containing N1	Approved	DKFZP434H2010	Pleckstrin homology domain containing
PLEKHO1	pleckstrin homology domain containing O1	Approved	"CKIP-1, OC120"	Pleckstrin homology domain containing
PLEKHO2	pleckstrin homology domain containing O2	Approved	"DKFZp761K2312, PP1628, pp9099"	Pleckstrin homology domain containing
